date,province,store_id,store_name,category,item_id,item_name,sales
2017-01-01,Hanoi,1,Hoan Kiem Market,Staples,1,Rice,21.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Staples,2,Noodles,15.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Staples,3,Bread,19.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Staples,4,Flour,9.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Staples,5,Cooking Oil,12.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Staples,6,Sugar,8.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Dairy & Frozen,7,Milk,28.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Dairy & Frozen,8,Cheese,16.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Dairy & Frozen,9,Yogurt,17.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Dairy & Frozen,10,Ice Cream,33.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Dairy & Frozen,11,Frozen Vegetables,10.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Beverages & Snacks,13,Juice,55.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Beverages & Snacks,14,Water,64.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Beverages & Snacks,16,Tea,23.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Beverages & Snacks,17,Chips,40.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Beverages & Snacks,18,Cookies,53.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,20,Soap,31.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,21,Shampoo,
2017-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,22,Toothpaste,22.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,23,Laundry Detergent,14.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,24,Paper Towels,19.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,25,Toilet Paper,18.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,26,Trash Bags,11.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,27,Dishwashing Liquid,10.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Household & Personal Care,28,All-Purpose Cleaner,15.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Baby & Health,29,Diapers,29.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Baby & Health,30,Baby Food,19.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Baby & Health,32,Pain Relievers,11.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Baby & Health,34,Cold & Flu Medicine,12.0
2017-01-01,Hanoi,1,Hoan Kiem Market,Baby & Health,35,First Aid Kit,5.0
2017-01-01,Hanoi,2,Ba Dinh Supermarket,Staples,1,Rice,20.0
2017-01-01,Hanoi,2,Ba Dinh Supermarket,Staples,5,Cooking Oil,12.0
2017-01-01,Hanoi,2,Ba Dinh Supermarket,Staples,6,Sugar,9.0
2017-01-01,Hanoi,2,Ba Dinh Supermarket,Dairy & Frozen,7,Milk,29.0
2017-01-01,Hanoi,2,Ba Dinh Supermarket,Dairy & Frozen,8,Cheese,16.0
2017-01-01,Hanoi,2,Ba Dinh Supermarket,Dairy & Frozen,9,Yogurt,17.0
